Datetime,1min,2min,5min,1min%,2min%,5min%,Trend
2020-06-26 10:48:00+05:30,-0.922719505,0.106626833,,15.03250153,-64.40545053,,0
2020-06-26 10:49:00+05:30,-0.690756604,,,-25.13904819,0,,0
2020-06-26 10:50:00+05:30,-0.908924078,-0.1289451,,31.58384183,-220.9311911,,0
2020-06-26 10:51:00+05:30,-0.700103693,,,-22.97445852,0,,0
2020-06-26 10:52:00+05:30,-0.418077846,-0.000479916,,-40.28343932,-99.62781375,,0
2020-06-26 10:53:00+05:30,-0.218871407,,,-47.64816905,0,,0
2020-06-26 10:54:00+05:30,0.157797793,0.349423417,,-172.09612,-72909.29715,,0
2020-06-26 10:55:00+05:30,0.43732983,,,177.1457209,0,,0
2020-06-26 10:56:00+05:30,0.886025886,0.694536529,,102.5990057,98.76645237,,0
2020-06-26 10:57:00+05:30,0.754697032,,,-14.82223675,0,,0
2020-06-26 10:58:00+05:30,0.574499838,0.85104691,,-23.87675934,22.53450666,,0
2020-06-26 10:59:00+05:30,0.847251344,,,47.47634172,0,,0
2020-06-26 11:00:00+05:30,1.400436711,1.60831732,,65.29176628,88.98104224,,0
2020-06-26 11:01:00+05:30,1.781304385,,,27.19635026,0,,0
2020-06-26 11:02:00+05:30,2.0109957,2.172273705,,12.89455737,35.06499482,,0
2020-06-26 11:03:00+05:30,2.068681559,,,2.86852224,0,,0
2020-06-26 11:04:00+05:30,1.806602274,2.334852021,,-12.66890421,7.484246398,,0
2020-06-26 11:05:00+05:30,1.676000611,,,-7.229132003,0,,0
2020-06-26 11:06:00+05:30,1.180918455,1.986312111,,-29.53949736,-14.9277088,,0
2020-06-26 11:07:00+05:30,0.576374955,,,-51.19265409,0,,0
2020-06-26 11:08:00+05:30,0.038899846,1.572068709,,-93.25094798,-20.85489985,,0
2020-06-26 11:09:00+05:30,-0.099790455,,,-356.5317519,0,,0
2020-06-26 11:10:00+05:30,-0.143767389,1.500132019,,44.06927851,-4.575925322,,0
2020-06-26 11:11:00+05:30,0.001888527,,,-101.3135992,0,,0
2020-06-26 11:12:00+05:30,0.357680191,1.714893352,,18839.63643,14.31616216,,5
2020-06-26 11:13:00+05:30,0.452381123,,,26.47642654,0,,0
2020-06-26 11:14:00+05:30,0.549747689,2.063871327,,21.52312752,20.34983548,,0
2020-06-26 11:15:00+05:30,1.085960684,,,97.53801692,0,,0
2020-06-26 11:16:00+05:30,1.25400025,2.459616738,,15.47381672,19.17490715,,0
2020-06-26 11:17:00+05:30,1.485933597,,,18.49547861,0,,0
2020-06-26 11:18:00+05:30,1.410517406,2.505730886,,-5.075340641,1.87485096,,0
2020-06-26 11:19:00+05:30,1.127244648,,,-20.08289701,0,,0
2020-06-26 11:20:00+05:30,1.230131373,2.898933459,,9.12727553,15.69213099,,0
2020-06-26 11:21:00+05:30,1.582812586,,,28.67020718,0,,0
2020-06-26 11:22:00+05:30,1.205235118,2.699102925,,-23.85484365,-6.893243223,,0
2020-06-26 11:23:00+05:30,0.862433512,,,-28.44271633,0,,0
2020-06-26 11:24:00+05:30,0.372362084,2.114344516,,-56.82425613,-21.66491703,,0
2020-06-26 11:25:00+05:30,-0.226655031,,,-160.8695248,0,,0
2020-06-26 11:26:00+05:30,-0.565286997,1.623671425,,149.4041247,-23.20686565,,0
2020-06-26 11:27:00+05:30,-0.683383946,,,20.89150283,0,,0
2020-06-26 11:28:00+05:30,-0.929921366,1.209204082,,36.0759748,-25.52655274,,0
2020-06-26 11:29:00+05:30,-0.839868125,,,-9.683962994,0,,0
2020-06-26 11:30:00+05:30,-1.001140068,0.799249846,,19.20205551,-33.90281606,,0
2020-06-26 11:31:00+05:30,-0.986922623,,,-1.420125425,0,,0
2020-06-26 11:32:00+05:30,-1.014370129,0.408602282,,2.781120303,-48.87677695,,0
2020-06-26 11:33:00+05:30,-1.118426634,,,10.25823829,0,,0
2020-06-26 11:34:00+05:30,-0.777481996,0.48196754,,-30.48430961,17.95517598,,0
2020-06-26 11:35:00+05:30,-0.44813606,,,-42.36058683,0,,0
2020-06-26 11:36:00+05:30,-0.046576935,0.672105809,,-89.6065192,39.45043024,,0
2020-06-26 11:37:00+05:30,0.092120295,,,-297.7809286,0,,0
2020-06-26 11:38:00+05:30,-0.00523758,0.520289186,,-105.685587,-22.58820272,,0
2020-06-26 11:39:00+05:30,-0.095463113,,,1722.657058,0,,-1.4
2020-06-26 11:40:00+05:30,-0.316669742,0.160914497,,231.7194801,-69.07210433,,0
2020-06-26 11:41:00+05:30,-0.572555298,,,80.80518024,0,,0
2020-06-26 11:42:00+05:30,-0.446170272,0.17971926,,-22.07385507,11.68618358,,0
2020-06-26 11:43:00+05:30,-0.238956242,,,-46.44281402,0,,0
2020-06-26 11:44:00+05:30,-0.122224243,0.217184128,,-48.85078471,20.8463287,,0
2020-06-26 11:45:00+05:30,-0.039327389,,,-67.82357756,0,,0
2020-06-26 11:46:00+05:30,0.075542194,0.324512591,,-292.0854569,49.41818925,,0
2020-06-26 11:47:00+05:30,0.197876069,,,161.9411185,0,,0
2020-06-26 11:48:00+05:30,0.426514501,0.564990733,,115.5462782,74.1044103,,0
2020-06-26 11:49:00+05:30,0.536517162,,,25.79107167,0,,0
2020-06-26 11:50:00+05:30,0.651325713,0.728249898,,21.398859,28.8959013,,0
2020-06-26 11:51:00+05:30,0.618053802,,,-5.108336743,0,,0
2020-06-26 11:52:00+05:30,0.300850434,0.432435719,,-51.32293771,-40.61987234,,0
2020-06-26 11:53:00+05:30,-0.060310367,,,-120.0466277,0,,0
2020-06-26 11:54:00+05:30,-0.139582359,0.219188198,,131.440077,-49.31311455,,0
2020-06-26 11:55:00+05:30,-0.359977404,,,157.8960602,0,,0
2020-06-26 11:56:00+05:30,-0.273545728,0.25822862,,-24.01030594,17.81137089,,0
2020-06-26 11:57:00+05:30,-0.091244045,,,-66.6439517,0,,0
2020-06-26 11:58:00+05:30,0.04288113,0.309173377,,-146.9960859,19.72854763,,0
2020-06-26 11:59:00+05:30,0.043954909,,,2.504083829,0,,0
2020-06-26 12:00:00+05:30,0.280566499,0.593947852,2.598373275,538.3052629,92.10834315,,0
2020-06-26 12:01:00+05:30,0.540084676,,,92.49792017,0,0,0
2020-06-26 12:02:00+05:30,0.818270222,0.887746627,,51.50776516,49.46541593,0,0
